Frame	Time	lat			lat_f	lon			lon_f	Alt_m	Alt_m	Alt_ft	Sat	Bat		Tb		Pressure		Ti		Hi	%	To		Ho	%																																																																																																																																																																																																																																				
9136	093150h	49974483N	0	0	0	20176170E	0	0	0	915m	915	3003ft	12	2694	mV	6.73	C	92065	Pa	6.21	C	37	%	12.12	C	39.36	%																																																																																																																																																																																																																																				
9137	093151h	49974533N	0	0	0	20176142E	0	0	0	910m	910	2988ft	12	2701	mV	6.75	C	92112	Pa	6.19	C	37.24	%	12.23	C	39.36	%																																																																																																																																																																																																																																				
9138	093152h	49974572N	0	0	0	20176095E	0	0	0	906m	906	2972ft	12	2701	mV	6.78	C	92174	Pa	6.19	C	37.49	%	12.2	C	39.38	%																																																																																																																																																																																																																																				
9139	093153h	49974589N	0	0	0	20176030E	0	0	0	901m	901	2959ft	12	2696	mV	6.82	C	92205	Pa	6.27	C	37.77	%	11.96	C	39.48	%																																																																																																																																																																																																																																				
9140	093154h	49974590N	0	0	0	20175968E	0	0	0	897m	897	2945ft	12	2699	mV	6.82	C	92263	Pa	6.25	C	38.3	%	11.77	C	39.58	%																																																																																																																																																																																																																																				
9141	093155h	49974582N	0	0	0	20175928E	0	0	0	893m	893	2932ft	12	2702	mV	6.84	C	92320	Pa	6.28	C	38.2	%	11.98	C	39.71	%																																																																																																																																																																																																																																				
9142	093156h	49974569N	0	0	0	20175915E	0	0	0	889m	889	2918ft	12	2705	mV	6.86	C	92373	Pa	6.30	C	38.35	%	11.95	C	39.91	%																																																																																																																																																																																																																																				
9143	093157h	49974560N	0	0	0	20175927E	0	0	0	885m	885	2905ft	12	2705	mV	6.86	C	92417	Pa	6.31	C	38.49	%	11.75	C	40.8	%																																																																																																																																																																																																																																				
9144	093158h	49974562N	0	0	0	20175959E	0	0	0	881m	881	2892ft	12	2704	mV	6.86	C	92473	Pa	6.34	C	38.59	%	11.64	C	40.21	%																																																																																																																																																																																																																																				
9145	093159h	49974579N	0	0	0	20176000E	0	0	0	877m	877	2877ft	12	2708	mV	6.88	C	92520	Pa	6.35	C	38.67	%	11.77	C	40.34	%																																																																																																																																																																																																																																				
9146	093200h	49974611N	0	0	0	20176038E	0	0	0	873m	873	2865ft	12	2707	mV	6.88	C	92559	Pa	6.35	C	38.67	%	11.73	C	40.5	%																																																																																																																																																																																																																																				
9147	093201h	49974650N	0	0	0	20176069E	0	0	0	868m	868	2850ft	12	2705	mV	6.88	C	92613	Pa	6.37	C	38.82	%	11.66	C	40.72	%																																																																																																																																																																																																																																				
9148	093202h	49974695N	0	0	0	20176091E	0	0	0	864m	864	2836ft	12	2707	mV	6.9	C	92655	Pa	6.38	C	38.96	%	11.84	C	40.93	%																																																																																																																																																																																																																																				
9149	093205h	49974828N	0	0	0	20176063E	0	0	0	854m	854	2803ft	10	2680	mV	6.94	C	92800	Pa	6.45	C	39.54	%	11.75	C	41.74	%																																																																																																																																																																																																																																				
9150	093206h	49974944N	0	0	0	20176078E	0	0	0	869m	869	2851ft	12	2685	mV	6.98	C	92854	Pa	6.48	C	39.61	%	11.61	C	41.86	%																																																																																																																																																																																																																																				
9151	093208h	49974971N	0	0	0	20175989E	0	0	0	863m	863	2832ft	12	2699	mV	7.1	C	92960	Pa	6.51	C	39.79	%	11.75	C	42.42	%																																																																																																																																																																																																																																				
9152	093209h	49974977N	0	0	0	20175949E	0	0	0	853m	853	2801ft	12	2694	mV	7.3	C	93005	Pa	6.52	C	39.9	%	12.8	C	42.74	%																																																																																																																																																																																																																																				
9153	093210h	49974969N	0	0	0	20175906E	0	0	0	850m	850	2788ft	12	2696	mV	7.7	C	93051	Pa	6.54	C	39.91	%	12.19	C	42.94	%																																																																																																																																																																																																																																				
9154	093211h	49974960N	0	0	0	20175897E	0	0	0	844m	844	2770ft	12	2701	mV	7.9	C	93097	Pa	6.55	C	39.93	%	12.12	C	43.7	%																																																																																																																																																																																																																																				
9155	093212h	49974952N	0	0	0	20175917E	0	0	0	838m	838	2750ft	12	2699	mV	7.7	C	93150	Pa	6.56	C	40.1	%	12.9	C	43.8	%																																																																																																																																																																																																																																				
9156	093213h	49974959N	0	0	0	20175948E	0	0	0	832m	832	2732ft	12	2705	mV	7.9	C	93200	Pa	6.59	C	40.11	%	12.13	C	43.8	%																																																																																																																																																																																																																																				
9157	093214h	49974977N	0	0	0	20175991E	0	0	0	827m	827	2714ft	12	2702	mV	7.11	C	93247	Pa	6.56	C	40.1	%	12.3	C	43.11	%																																																																																																																																																																																																																																				
9158	093215h	49975010N	0	0	0	20176027E	0	0	0	822m	822	2698ft	12	2701	mV	7.11	C	93291	Pa	6.56	C	40.12	%	12.27	C	43.21	%																																																																																																																																																																																																																																				
9159	093216h	49975055N	0	0	0	20176054E	0	0	0	818m	818	2683ft	12	2701	mV	7.13	C	93338	Pa	6.56	C	40.26	%	12.2	C	43.24	%																																																																																																																																																																																																																																				
9160	093217h	49975106N	0	0	0	20176067E	0	0	0	813m	813	2668ft	12	2704	mV	7.15	C	93387	Pa	6.61	C	40.52	%	12.16	C	43.3	%																																																																																																																																																																																																																																				
9161	093218h	49975161N	0	0	0	20176071E	0	0	0	809m	809	2656ft	12	2705	mV	7.15	C	93431	Pa	6.61	C	40.75	%	12.36	C	43.34	%																																																																																																																																																																																																																																				
9162	093219h	49975216N	0	0	0	20176064E	0	0	0	805m	805	2642ft	12	2699	mV	7.15	C	93476	Pa	6.66	C	40.89	%	12.12	C	43.36	%																																																																																																																																																																																																																																				
9163	093220h	49975268N	0	0	0	20176043E	0	0	0	801m	801	2628ft	12	2702	mV	7.19	C	93519	Pa	6.66	C	41.7	%	11.89	C	43.37	%																																																																																																																																																																																																																																				
9164	093221h	49975316N	0	0	0	20176010E	0	0	0	796m	796	2613ft	12	2705	mV	7.21	C	93567	Pa	6.69	C	41.28	%	11.73	C	43.51	%																																																																																																																																																																																																																																				
9165	093222h	49975359N	0	0	0	20175963E	0	0	0	791m	791	2598ft	12	2705	mV	7.23	C	93625	Pa	6.69	C	41.43	%	11.68	C	43.74	%																																																																																																																																																																																																																																				
9166	093223h	49975389N	0	0	0	20175903E	0	0	0	785m	785	2578ft	12	2709	mV	7.25	C	93665	Pa	6.72	C	41.56	%	11.78	C	43.95	%																																																																																																																																																																																																																																				
9167	093224h	49975409N	0	0	0	20175846E	0	0	0	781m	781	2564ft	12	2708	mV	7.26	C	93723	Pa	6.75	C	41.66	%	11.73	C	44.15	%																																																																																																																																																																																																																																				
9168	093225h	49975417N	0	0	0	20175794E	0	0	0	777m	777	2551ft	12	2702	mV	7.26	C	93762	Pa	6.76	C	41.65	%	12.6	C	44.39	%																																																																																																																																																																																																																																				
9169	093226h	49975420N	0	0	0	20175751E	0	0	0	772m	772	2535ft	12	2707	mV	7.28	C	93808	Pa	6.78	C	41.6	%	11.81	C	44.49	%																																																																																																																																																																																																																																				
9170	093227h	49975418N	0	0	0	20175713E	0	0	0	768m	768	2521ft	12	2712	mV	7.28	C	93854	Pa	6.75	C	41.58	%	11.68	C	44.58	%																																																																																																																																																																																																																																				
9171	093228h	49975415N	0	0	0	20175683E	0	0	0	763m	763	2505ft	12	2708	mV	7.3	C	93903	Pa	6.75	C	41.67	%	11.64	C	44.73	%																																																																																																																																																																																																																																				
9172	093229h	49975407N	0	0	0	20175663E	0	0	0	759m	759	2491ft	12	2707	mV	7.34	C	93955	Pa	6.78	C	41.8	%	11.98	C	44.94	%																																																																																																																																																																																																																																				
9173	093230h	49975399N	0	0	0	20175659E	0	0	0	755m	755	2477ft	12	2708	mV	7.36	C	94004	Pa	6.80	C	41.98	%	12.19	C	45.11	%																																																																																																																																																																																																																																				
9174	093231h	49975395N	0	0	0	20175677E	0	0	0	749m	749	2458ft	12	2707	mV	7.38	C	94062	Pa	6.83	C	42.12	%	12.29	C	45.24	%																																																																																																																																																																																																																																				
9175	093232h	49975395N	0	0	0	20175713E	0	0	0	744m	744	2442ft	11	2707	mV	7.38	C	94101	Pa	6.80	C	42.25	%	12.9	C	45.25	%																																																																																																																																																																																																																																				
9176	093233h	49975401N	0	0	0	20175755E	0	0	0	739m	739	2426ft	12	2705	mV	7.4	C	94152	Pa	6.83	C	42.31	%	11.93	C	45.25	%																																																																																																																																																																																																																																				
9177	093236h	49975427N	0	0	0	20175827E	0	0	0	704m	704	2310ft	12	2683	mV	7.42	C	94302	Pa	6.87	C	42.74	%	12.11	C	45.24	%																																																																																																																																																																																																																																				
9178	093237h	49975506N	0	0	0	20175961E	0	0	0	717m	717	2355ft	11	2696	mV	7.46	C	94354	Pa	6.93	C	42.89	%	11.82	C	45.22	%																																																																																																																																																																																																																																				
9179	093239h	49975539N	0	0	0	20176042E	0	0	0	711m	711	2333ft	12	2697	mV	7.5	C	94440	Pa	6.96	C	42.91	%	11.66	C	45.18	%																																																																																																																																																																																																																																				
9180	093240h	49975577N	0	0	0	20176055E	0	0	0	707m	707	2321ft	12	2699	mV	7.52	C	94490	Pa	6.97	C	42.93	%	11.56	C	45.16	%																																																																																																																																																																																																																																				
9181	093241h	49975623N	0	0	0	20176057E	0	0	0	704m	704	2309ft	11	2705	mV	7.52	C	94546	Pa	6.94	C	42.96	%	11.63	C	45.16	%																																																																																																																																																																																																																																				
9182	093242h	49975673N	0	0	0	20176042E	0	0	0	699m	699	2294ft	12	2705	mV	7.52	C	94587	Pa	7.0	C	42.99	%	11.53	C	45.14	%																																																																																																																																																																																																																																				
9183	093243h	49975717N	0	0	0	20176022E	0	0	0	694m	694	2280ft	12	2705	mV	7.52	C	94635	Pa	7.1	C	43.1	%	11.82	C	45.14	%																																																																																																																																																																																																																																				
9184	093244h	49975759N	0	0	0	20175997E	0	0	0	689m	689	2263ft	11	2705	mV	7.53	C	94684	Pa	6.99	C	42.88	%	11.80	C	45.8	%																																																																																																																																																																																																																																				
9185	093245h	49975794N	0	0	0	20175969E	0	0	0	683m	683	2243ft	12	2705	mV	7.55	C	94733	Pa	7.1	C	42.84	%	11.61	C	44.94	%																																																																																																																																																																																																																																				
9186	093246h	49975822N	0	0	0	20175941E	0	0	0	678m	678	2224ft	12	2709	mV	7.57	C	94787	Pa	7.1	C	42.9	%	12.1	C	44.94	%																																																																																																																																																																																																																																				
9187	093247h	49975838N	0	0	0	20175907E	0	0	0	673m	673	2209ft	11	2704	mV	7.57	C	94830	Pa	7.1	C	42.97	%	12.2	C	44.85	%																																																																																																																																																																																																																																				
9188	093248h	49975840N	0	0	0	20175874E	0	0	0	668m	668	2192ft	12	2710	mV	7.59	C	94877	Pa	7.6	C	43.8	%	11.93	C	44.75	%																																																																																																																																																																																																																																				
9189	093249h	49975831N	0	0	0	20175849E	0	0	0	663m	663	2177ft	12	2693	mV	7.59	C	94928	Pa	7.7	C	43.19	%	11.95	C	44.73	%																																																																																																																																																																																																																																				
9190	093250h	49975814N	0	0	0	20175842E	0	0	0	659m	659	2162ft	12	2693	mV	7.61	C	94983	Pa	7.4	C	43.29	%	12.8	C	44.82	%																																																																																																																																																																																																																																				
9191	093251h	49975799N	0	0	0	20175866E	0	0	0	654m	654	2146ft	12	2691	mV	7.65	C	95042	Pa	7.7	C	43.41	%	12.25	C	45.8	%																																																																																																																																																																																																																																				
9192	093252h	49975795N	0	0	0	20175909E	0	0	0	649m	649	2130ft	12	2705	mV	7.67	C	95105	Pa	7.7	C	43.53	%	12.11	C	45.31	%																																																																																																																																																																																																																																				
9193	093253h	49975808N	0	0	0	20175950E	0	0	0	645m	645	2117ft	12	2699	mV	7.67	C	95158	Pa	7.9	C	43.67	%	11.92	C	45.74	%																																																																																																																																																																																																																																				
9194	093254h	49975836N	0	0	0	20175978E	0	0	0	641m	641	2103ft	12	2683	mV	7.67	C	95200	Pa	7.13	C	43.78	%	11.78	C	46.9	%																																																																																																																																																																																																																																				
9195	093255h	49975871N	0	0	0	20175982E	0	0	0	636m	636	2089ft	12	2690	mV	7.69	C	95242	Pa	7.11	C	43.88	%	11.68	C	46.59	%																																																																																																																																																																																																																																				
9196	093256h	49975903N	0	0	0	20175953E	0	0	0	632m	632	2076ft	12	2690	mV	7.71	C	95305	Pa	7.14	C	43.97	%	11.98	C	47.18	%																																																																																																																																																																																																																																				
9197	093257h	49975930N	0	0	0	20175909E	0	0	0	628m	628	2063ft	12	2694	mV	7.71	C	95364	Pa	7.15	C	44.2	%	12.30	C	47.66	%																																																																																																																																																																																																																																				
9198	093258h	49975946N	0	0	0	20175857E	0	0	0	624m	624	2050ft	12	2712	mV	7.73	C	95397	Pa	7.17	C	44.8	%	12.23	C	47.89	%																																																																																																																																																																																																																																				
9199	093259h	49975949N	0	0	0	20175799E	0	0	0	620m	620	2035ft	12	2690	mV	7.73	C	95454	Pa	7.20	C	44.3	%	12.1	C	48.1	%																																																																																																																																																																																																																																				
9200	093300h	49975937N	0	0	0	20175753E	0	0	0	615m	615	2020ft	12	2688	mV	7.75	C	95507	Pa	7.20	C	43.99	%	12.16	C	48.4	%																																																																																																																																																																																																																																				
9201	093301h	49975911N	0	0	0	20175727E	0	0	0	611m	611	2005ft	12	2686	mV	7.8	C	95544	Pa	7.21	C	44.6	%	12.43	C	48.81	%																																																																																																																																																																																																																																				
9202	093302h	49975881N	0	0	0	20175728E	0	0	0	606m	606	1990ft	12	2688	mV	7.8	C	95603	Pa	7.25	C	44.14	%	12.58	C	49.1	%																																																																																																																																																																																																																																				
9203	093303h	49975860N	0	0	0	20175750E	0	0	0	602m	602	1976ft	12	2687	mV	7.82	C	95650	Pa	7.24	C	44.28	%	12.43	C	49.26	%																																																																																																																																																																																																																																				
9204	093304h	49975848N	0	0	0	20175783E	0	0	0	598m	598	1963ft	12	2680	mV	7.82	C	95711	Pa	7.28	C	44.31	%	12.27	C	49.39	%																																																																																																																																																																																																																																				
9205	093307h	49976094N	0	0	0	20175889E	0	0	0	550m	550	1805ft	10	2679	mV	7.86	C	95873	Pa	7.27	C	44.46	%	12.51	C	49.57	%																																																																																																																																																																																																																																				
9206	093308h	49975986N	0	0	0	20175842E	0	0	0	560m	560	1839ft	11	2686	mV	7.9	C	95924	Pa	7.29	C	44.58	%	12.27	C	49.54	%																																																																																																																																																																																																																																				
9207	093310h	49976001N	0	0	0	20175789E	0	0	0	559m	559	1836ft	11	2688	mV	7.9	C	96008	Pa	7.34	C	44.7	%	12.13	C	49.63	%																																																																																																																																																																																																																																				
9208	093311h	49976012N	0	0	0	20175752E	0	0	0	554m	554	1817ft	12	2704	mV	7.92	C	96055	Pa	7.38	C	44.79	%	12.9	C	49.72	%																																																																																																																																																																																																																																				
9209	093312h	49976013N	0	0	0	20175696E	0	0	0	549m	549	1802ft	12	2702	mV	7.92	C	96120	Pa	7.39	C	44.7	%	12.36	C	49.86	%																																																																																																																																																																																																																																				
9210	093313h	49975997N	0	0	0	20175626E	0	0	0	547m	547	1796ft	12	2704	mV	7.94	C	96164	Pa	7.38	C	44.69	%	12.11	C	49.91	%																																																																																																																																																																																																																																				
9211	093314h	49975972N	0	0	0	20175558E	0	0	0	545m	545	1788ft	12	2699	mV	7.96	C	96206	Pa	7.39	C	44.7	%	12.20	C	49.96	%																																																																																																																																																																																																																																				
9212	093315h	49975958N	0	0	0	20175492E	0	0	0	542m	542	1781ft	12	2697	mV	8	C	96250	Pa	7.39	C	44.81	%	11.99	C	49.9	%																																																																																																																																																																																																																																				
9213	093316h	49975946N	0	0	0	20175432E	0	0	0	539m	539	1769ft	12	2701	mV	8.1	C	96301	Pa	7.45	C	44.88	%	11.95	C	49.9	%																																																																																																																																																																																																																																				
9214	093317h	49975932N	0	0	0	20175371E	0	0	0	535m	535	1757ft	10	2702	mV	8.1	C	96358	Pa	7.41	C	44.89	%	12.5	C	49.9	%																																																																																																																																																																																																																																				
9215	093318h	49975915N	0	0	0	20175322E	0	0	0	531m	531	1743ft	12	2699	mV	8.3	C	96404	Pa	7.44	C	44.95	%	12.13	C	49.94	%																																																																																																																																																																																																																																				
9216	093319h	49975892N	0	0	0	20175290E	0	0	0	527m	527	1732ft	11	2701	mV	8.6	C	96467	Pa	7.41	C	44.91	%	12.30	C	49.9	%																																																																																																																																																																																																																																				
9217	093320h	49975862N	0	0	0	20175289E	0	0	0	523m	523	1718ft	12	2701	mV	8.6	C	96524	Pa	7.44	C	45.2	%	12.51	C	49.88	%																																																																																																																																																																																																																																				
9218	093321h	49975840N	0	0	0	20175313E	0	0	0	519m	519	1703ft	10	2701	mV	8.7	C	96571	Pa	7.42	C	44.97	%	12.33	C	49.76	%																																																																																																																																																																																																																																				
9219	093322h	49975835N	0	0	0	20175351E	0	0	0	514m	514	1687ft	11	2698	mV	8.7	C	96623	Pa	7.45	C	45	%	12.20	C	49.67	%																																																																																																																																																																																																																																				
9220	093323h	49975845N	0	0	0	20175382E	0	0	0	510m	510	1674ft	11	2705	mV	8.9	C	96669	Pa	7.46	C	45.2	%	12.11	C	49.58	%																																																																																																																																																																																																																																				
9221	093324h	49975869N	0	0	0	20175398E	0	0	0	506m	506	1661ft	12	2701	mV	8.7	C	96723	Pa	7.52	C	44.96	%	11.98	C	49.39	%																																																																																																																																																																																																																																				
9222	093325h	49975901N	0	0	0	20175391E	0	0	0	502m	502	1647ft	12	2688	mV	8.7	C	96779	Pa	7.51	C	44.9	%	11.88	C	49.32	%																																																																																																																																																																																																																																				
9223	093326h	49975930N	0	0	0	20175370E	0	0	0	497m	497	1632ft	12	2690	mV	8.9	C	96817	Pa	7.48	C	44.78	%	12.25	C	49.38	%																																																																																																																																																																																																																																				
9224	093327h	49975956N	0	0	0	20175340E	0	0	0	493m	493	1620ft	12	2690	mV	8.11	C	96860	Pa	7.52	C	44.77	%	12.2	C	49.32	%																																																																																																																																																																																																																																				
9225	093328h	49975977N	0	0	0	20175302E	0	0	0	489m	489	1605ft	12	2704	mV	8.14	C	96915	Pa	7.56	C	44.84	%	11.91	C	49.29	%																																																																																																																																																																																																																																				
9226	093329h	49975995N	0	0	0	20175252E	0	0	0	485m	485	1591ft	12	2679	mV	8.15	C	96963	Pa	7.58	C	44.94	%	11.84	C	49.3	%																																																																																																																																																																																																																																				
9227	093330h	49976000N	0	0	0	20175192E	0	0	0	480m	480	1576ft	12	2685	mV	8.15	C	97004	Pa	7.58	C	45.2	%	11.86	C	49.37	%																																																																																																																																																																																																																																				
9228	093331h	49975997N	0	0	0	20175129E	0	0	0	476m	476	1563ft	12	2705	mV	8.18	C	97063	Pa	7.58	C	44.99	%	11.77	C	49.42	%																																																																																																																																																																																																																																				
9229	093332h	49975986N	0	0	0	20175067E	0	0	0	472m	472	1550ft	12	2683	mV	8.18	C	97110	Pa	7.59	C	45.1	%	12.13	C	49.53	%																																																																																																																																																																																																																																				
9230	093333h	49975973N	0	0	0	20175007E	0	0	0	468m	468	1538ft	12	2685	mV	8.18	C	97162	Pa	7.61	C	45.14	%	11.89	C	49.47	%																																																																																																																																																																																																																																				
9231	093334h	49975954N	0	0	0	20174953E	0	0	0	464m	464	1524ft	11	2704	mV	8.21	C	97210	Pa	7.62	C	45.19	%	12.3	C	49.54	%																																																																																																																																																																																																																																				
9232	093335h	49975928N	0	0	0	20174906E	0	0	0	460m	460	1509ft	12	2705	mV	8.22	C	97266	Pa	7.66	C	45.25	%	12.39	C	49.58	%																																																																																																																																																																																																																																				
9233	093338h	49975954N	0	0	0	20174819E	0	0	0	383m	383	1257ft	10	2682	mV	8.31	C	97405	Pa	7.69	C	45.26	%	12.72	C	49.31	%																																																																																																																																																																																																																																				
9234	093339h	49975859N	0	0	0	20174816E	0	0	0	425m	425	1395ft	11	2698	mV	8.32	C	97476	Pa	7.73	C	45.26	%	12.75	C	49.21	%																																																																																																																																																																																																																																				
9235	093341h	49975839N	0	0	0	20174891E	0	0	0	427m	427	1403ft	11	2693	mV	8.36	C	97564	Pa	7.77	C	45.43	%	12.36	C	49.12	%																																																																																																																																																																																																																																				
9236	093342h	49975829N	0	0	0	20174931E	0	0	0	429m	429	1408ft	12	2701	mV	8.35	C	97630	Pa	7.74	C	45.44	%	12.23	C	49.3	%																																																																																																																																																																																																																																				
9237	093343h	49975867N	0	0	0	20174929E	0	0	0	425m	425	1396ft	12	2701	mV	8.38	C	97664	Pa	7.80	C	45.45	%	12.8	C	49.78	%																																																																																																																																																																																																																																				
9238	093344h	49975910N	0	0	0	20174904E	0	0	0	420m	420	1380ft	11	2699	mV	8.38	C	97729	Pa	7.81	C	45.35	%	11.95	C	50.74	%																																																																																																																																																																																																																																				
9239	093345h	49975943N	0	0	0	20174855E	0	0	0	416m	416	1367ft	12	2697	mV	8.4	C	97780	Pa	7.80	C	45.29	%	12.25	C	51.87	%																																																																																																																																																																																																																																				
9240	093346h	49975972N	0	0	0	20174789E	0	0	0	411m	411	1351ft	12	2702	mV	8.4	C	97841	Pa	7.86	C	45.3	%	12.37	C	52.96	%																																																																																																																																																																																																																																				
9241	093347h	49975988N	0	0	0	20174724E	0	0	0	408m	408	1341ft	12	2701	mV	8.39	C	97882	Pa	7.86	C	45.36	%	12.39	C	53.9	%																																																																																																																																																																																																																																				
9242	093348h	49975992N	0	0	0	20174669E	0	0	0	404m	404	1327ft	12	2699	mV	8.42	C	97924	Pa	7.86	C	45.4	%	12.12	C	54.62	%																																																																																																																																																																																																																																				
9243	093349h	49975983N	0	0	0	20174624E	0	0	0	400m	400	1312ft	12	2680	mV	8.43	C	97989	Pa	7.86	C	45.54	%	12.11	C	55.31	%																																																																																																																																																																																																																																				
9244	093350h	49975969N	0	0	0	20174591E	0	0	0	395m	395	1298ft	12	2680	mV	8.43	C	98031	Pa	7.87	C	45.81	%	12.22	C	56.5	%																																																																																																																																																																																																																																				
9245	093351h	49975949N	0	0	0	20174565E	0	0	0	392m	392	1287ft	12	2696	mV	8.43	C	98076	Pa	7.90	C	46.11	%	11.98	C	56.65	%																																																																																																																																																																																																																																				
9246	093352h	49975937N	0	0	0	20174557E	0	0	0	388m	388	1274ft	12	2699	mV	8.46	C	98118	Pa	7.89	C	46.46	%	12.1	C	57.19	%																																																																																																																																																																																																																																				
9247	093353h	49975928N	0	0	0	20174571E	0	0	0	384m	384	1260ft	12	2705	mV	8.48	C	98172	Pa	7.90	C	46.75	%	12.2	C	57.72	%																																																																																																																																																																																																																																				
9248	093354h	49975924N	0	0	0	20174595E	0	0	0	378m	378	1241ft	12	2687	mV	8.48	C	98230	Pa	7.91	C	47.6	%	11.85	C	58.32	%																																																																																																																																																																																																																																				
9249	093355h	49975925N	0	0	0	20174622E	0	0	0	374m	374	1228ft	12	2705	mV	8.48	C	98284	Pa	7.93	C	47.28	%	12.1	C	58.86	%																																																																																																																																																																																																																																				
9250	093356h	49975926N	0	0	0	20174649E	0	0	0	371m	371	1219ft	12	2704	mV	8.51	C	98321	Pa	7.96	C	47.47	%	12.9	C	59.32	%																																																																																																																																																																																																																																				
9251	093357h	49975926N	0	0	0	20174673E	0	0	0	367m	367	1207ft	12	2683	mV	8.53	C	98369	Pa	7.97	C	47.67	%	12.18	C	59.77	%																																																																																																																																																																																																																																				
9252	093358h	49975925N	0	0	0	20174696E	0	0	0	364m	364	1194ft	12	2682	mV	8.55	C	98418	Pa	7.98	C	47.82	%	12.1	C	60.18	%																																																																																																																																																																																																																																				
9253	093359h	49975924N	0	0	0	20174718E	0	0	0	360m	360	1182ft	12	2704	mV	8.56	C	98473	Pa	8.0	C	47.93	%	11.77	C	60.45	%																																																																																																																																																																																																																																				
9254	093400h	49975927N	0	0	0	20174743E	0	0	0	356m	356	1169ft	12	2704	mV	8.57	C	98518	Pa	8.1	C	48	%	12.8	C	60.83	%																																																																																																																																																																																																																																				
9255	093401h	49975936N	0	0	0	20174764E	0	0	0	351m	351	1154ft	13	2664	mV	8.57	C	98566	Pa	8.5	C	48.2	%	12.11	C	61.18	%																																																																																																																																																																																																																																				
9256	093402h	49975951N	0	0	0	20174777E	0	0	0	347m	347	1140ft	13	2653	mV	8.57	C	98612	Pa	8.7	C	48	%	11.85	C	61.29	%																																																																																																																																																																																																																																				
9257	093403h	49975970N	0	0	0	20174777E	0	0	0	343m	343	1126ft	13	2668	mV	8.6	C	98664	Pa	8.5	C	48.2	%	11.82	C	61.44	%																																																																																																																																																																																																																																				
9258	093404h	49975992N	0	0	0	20174765E	0	0	0	338m	338	1111ft	13	2663	mV	8.6	C	98710	Pa	8.4	C	47.91	%	11.58	C	61.56	%																																																																																																																																																																																																																																				
9259	093405h	49976011N	0	0	0	20174752E	0	0	0	334m	334	1096ft	13	2666	mV	8.61	C	98765	Pa	8.4	C	47.81	%	11.73	C	61.77	%																																																																																																																																																																																																																																				
9260	093406h	49976026N	0	0	0	20174737E	0	0	0	329m	329	1082ft	13	2664	mV	8.63	C	98806	Pa	8.3	C	47.93	%	11.50	C	61.98	%																																																																																																																																																																																																																																				
9261	093409h	49976029N	0	0	0	20174638E	0	0	0	295m	295	970ft	11	2650	mV	8.68	C	98960	Pa	8.8	C	48.48	%	11.9	C	62.98	%																																																																																																																																																																																																																																				
9262	093410h	49976078N	0	0	0	20174579E	0	0	0	299m	299	982ft	13	2644	mV	8.68	C	99008	Pa	8.8	C	48.65	%	11.25	C	63.41	%																																																																																																																																																																																																																																				
9263	093412h	49976056N	0	0	0	20174509E	0	0	0	298m	298	977ft	13	2630	mV	8.69	C	99102	Pa	8.12	C	49.17	%	11.30	C	64.12	%																																																																																																																																																																																																																																				
9264	093413h	49976039N	0	0	0	20174471E	0	0	0	293m	293	963ft	13	2658	mV	8.68	C	99161	Pa	8.11	C	49.3	%	11.52	C	64.47	%																																																																																																																																																																																																																																				
9265	093414h	49976009N	0	0	0	20174434E	0	0	0	290m	290	951ft	13	2699	mV	8.71	C	99195	Pa	8.12	C	49.37	%	11.49	C	64.71	%																																																																																																																																																																																																																																				
9266	093415h	49975961N	0	0	0	20174410E	0	0	0	289m	289	948ft	13	2680	mV	8.72	C	99224	Pa	8.16	C	49.43	%	11.29	C	64.84	%																																																																																																																																																																																																																																				
