Frame	Time	lat			lat_f	lon			lon_f	Alt_m	Alt_m	Alt_ft	Sat	Bat		Tb		Pressure		Ti		Hi	%	To		Ho	%																																																																																																																																																																																																																																				
118	064205h	50189369N	0	0	0	19806582E	0	0	0	455m	455	1495ft	7	2966	mV	15.82	C	97519	Pa	14.92	C	57.5	%	13.10	C	59.92	%																																																																																																																																																																																																																																				
119	064206h	50189372N	0	0	0	19806583E	0	0	0	455m	455	1493ft	7	2966	mV	15.81	C	97519	Pa	14.93	C	57.3	%	13.12	C	59.82	%																																																																																																																																																																																																																																				
120	064207h	50189373N	0	0	0	19806584E	0	0	0	455m	455	1494ft	7	2966	mV	15.84	C	97515	Pa	14.93	C	57.5	%	13.16	C	59.81	%																																																																																																																																																																																																																																				
121	064208h	50189374N	0	0	0	19806587E	0	0	0	454m	454	1491ft	7	2961	mV	15.82	C	97520	Pa	14.97	C	57.6	%	13.12	C	59.8	%																																																																																																																																																																																																																																				
122	064209h	50189375N	0	0	0	19806589E	0	0	0	454m	454	1490ft	7	2961	mV	15.85	C	97512	Pa	14.94	C	57.7	%	13.19	C	59.74	%																																																																																																																																																																																																																																				
123	064210h	50189375N	0	0	0	19806589E	0	0	0	454m	454	1490ft	7	2964	mV	15.85	C	97519	Pa	14.94	C	57.7	%	13.19	C	59.68	%																																																																																																																																																																																																																																				
124	064211h	50189375N	0	0	0	19806588E	0	0	0	454m	454	1490ft	7	2961	mV	15.85	C	97519	Pa	14.96	C	57.5	%	13.19	C	59.58	%																																																																																																																																																																																																																																				
125	064212h	50189373N	0	0	0	19806589E	0	0	0	454m	454	1491ft	7	2964	mV	15.85	C	97513	Pa	14.97	C	57.5	%	13.22	C	59.56	%																																																																																																																																																																																																																																				
126	064213h	50189375N	0	0	0	19806588E	0	0	0	454m	454	1490ft	7	2960	mV	15.85	C	97514	Pa	14.96	C	57.7	%	13.20	C	59.51	%																																																																																																																																																																																																																																				
127	064214h	50189375N	0	0	0	19806587E	0	0	0	454m	454	1490ft	7	2969	mV	15.85	C	97514	Pa	14.97	C	57.6	%	13.17	C	59.52	%																																																																																																																																																																																																																																				
128	064218h	50189253N	0	0	0	19806485E	0	0	0	472m	472	1549ft	6	2964	mV	15.86	C	97522	Pa	14.94	C	57.4	%	13.6	C	59.62	%																																																																																																																																																																																																																																				
129	064220h	50189248N	0	0	0	19806514E	0	0	0	466m	466	1528ft	6	2966	mV	15.86	C	97512	Pa	15.0	C	57.1	%	13.2	C	59.53	%																																																																																																																																																																																																																																				
130	064221h	50189264N	0	0	0	19806510E	0	0	0	464m	464	1522ft	6	2966	mV	15.89	C	97513	Pa	15.1	C	57.11	%	13.3	C	59.51	%																																																																																																																																																																																																																																				
